00000072d51c f670488a95da 00000092211c f671f48a959a
0000101c7fba a57f591d998a 0000103c40ba a575ff1d99aa
00001133fec8 70365aa4b17e 000011f307c8 703acea4b16e
000011470ef0 f7d7c348cb89 000011a736f0 f7de7d48cbc9
000011cbd66b a9be0f58499e 000011dbfb6b a9b33958496e
0000116c686e 6215ef1c2c74 0000118c0b6e 621b251c2c64
0000118c3e82 5e48820869c4 000011ec6e82 5e4d540869b4
000011aea9f5 f2b20cfce2fe 000011bec6f5 f2b1a0fce2be
0000125412e0 7af91df89e4d 00001284d3e0 7af0c1f89edd
00001225683b 1e849c30fdd4 000012f5173b 1e88bb30fd74
000012667b90 0a583e4de280 000012e6d890 0a5ed14de220
00001229fce4 0ff13ac1f259 00001259c8e4 0ff66dc1f229
0000123aa3d9 c985e1f007b4 0000127aa2d9 c98d62f00734
0000120b3a49 1859d044e9d5 0000123b8c49 18583944e9a5
0000122b71b0 6cbfaff9487d 0000127b2ab0 6cb556f948bd
0000123ef629 74a41a859eef 000012ce0229 74a7ee859ebf
0000127e8084 7f38f6ca34e6 000012be6284 7f399bca34f6
00001365320b 284fe8829648 000013f5d70b 2841f5829678
000013155990 22566c2825fb 00001365a690 225fb328250b
00001318ceac 98d73f0a1bb8 000013e864ac 98d05d0a1bc8
0000130c0ead a9e884f66939 0000134c7dad a9e26af66979
0000133d62b9 3e64869a538a 000013ed7cb9 3e6a229a53aa
000013be6a7e e5ef393562fe 000013fee77e e5ec0535625e
0000136e728e d06ae6755181 000013ced08e d063627551c1
000014774149 d5d2b3de2fc3 000014977149 d5d702de2f13
000014a833a4 a4c0f716aeb2 000014f8baa4 a4c2e416aec2
0000147c3658 ce57346d9a8b 0000148c8358 ce51606d9a7b
000014ae53f9 6e1e8fd0dd7a 000014bed7f9 6e10fdd0dd9a
000015b47e06 6269e1ceeee3 000015d43406 626cf7ceeed3
00001565d506 5187cd080169 000015e51006 518224080179
00001600a6c5 a712b85c6de1 000016205bc5 a713895c6d81
000016e14a25 703cc200b239 000016f19525 70398d00b299
00001648efec 3a397dcce0bd 000016c813ec 3a3809cce03d
0000167f064d 8d00c156ec48 000016fff64d 8d046b56ecd8
00001716ca9b ab8921826d62 000017d6869b ab888c826d22
000017391c2f 1850ac48a4cd 000017b9672f 1851b648a4fd
0000175b9966 3dde58088051 0000177b0866 3dd5c00880f1
000017cdae0b 56cfe8c1391f 000017fda00b 56c554c1398f
0000172e16cd 37017a8805e5 0000179e17cd 3703e48805b5
000018321734 7036a1df8bac 000018f2a134 703eb2df8bfc
0000182575c7 a02103650a03 000018759ac7 a02734650a43
000018270d29 afda4f9c219f 000018573329 afde1e9c211f
00001858b362 d1ffbfbce408 000018980462 d1f2e2bce4c8
0000188d48a6 0cf0bdba784e 000018fd72a6 0cfb2cba78de
0000194071a8 cf98e8dfe866 000019c033a8 cf952cdfe896
000019a5c6a7 315d01b213b9 000019c56ba7 3153a0b21369
0000196b7d77 dab8d5d9ee83 0000198bd677 dab986d9eec3
0000193d7de5 61a4aac3382b 000019fd5fe5 61abc4c3389b
00001a3f895c 346ba86047fc 00001a4fed5c 346aec60475c
00001b11d8f6 0b91008335e9 00001b2129f6 0b90698335c9
00001b53075e 4c246732c52f 00001ba3be5e 4c2d1132c53f
00001b6aa948 d0cbe0bea92e 00001baa7c48 d0c125bea95e
00001b5a70de e10bc876475c 00001b6af1de e10ee97647dc
00001b3b0c4a 0e71ba6965bb 00001b6b974a 0e7f4d69657b
00001b4c08a6 9c4c69308540 00001bbce6a6 9c42bc308560
00001c80ffb7 35b0421fb32a 00001cb056b7 35b4091fb30a
00001c556f09 2bd66003f215 00001cd5a909 2bdb9d03f2f5
00001c95f92e d690defa30aa 00001cb5502e d69690fa300a
00001c07d1fa 1191ff492c8d 00001c5736fa 119b59492c5d
00001c08a852 5d60f04fca27 00001cb82252 5d66a84fca87
00001c2a0e38 c1843a4f6b44 00001c6a7b38 c1837b4f6bd4
00001d127258 1ace9d41d7b5 00001dd2ac58 1acaf041d745
00001d123bdf 4ec83aaa1d76 00001dc282df 4ec52eaa1db6
00001d76f1e4 4895fc1c8e87 00001de671e4 4896361c8e57
00001d995b41 7f1db7bd0fbf 00001dd9cc41 7f191abd0fdf
00001d0b4e10 e6442bc43402 00001dfb3610 e64736c43482
00001d6b4b99 32b2cf0c713d 00001dcb1999 32b1d60c714d
00001ddd6013 5a8e33333d67 00001dedb013 5a8fd2333d27
00001d0eb902 8e9f974201ba 00001d1e6502 8e901c42014a
00001d1e6df9 0dbfdec53594 00001d7eb0f9 0db52bc53524
00001dbf06c1 2ed354a04a04 00001dff17c1 2ed248a04a44
00001e23a36c 9666e5693175 00001e83cc6c 9664a76931b5
00001e049e03 00567ef73fcb 00001e541e03 005d33f73f3b
00001e04f684 b7eef4d479a2 00001eb4d384 b7e2c5d479b2
00001e5a6d42 fa567807c979 00001edaad42 fa528707c989
00001eead0f7 bf7d89f2a517 00001efaecf7 bf700af2a587
00001e2c7c36 f95385e030b3 00001efc6836 f9509ae03073
00001e3cfd52 f8df9f84f71d 00001e9ca652 f8dc0c84f78d
00001e4d28bc 077936028d2d 00001ead40bc 077a7d028dad
00001e1f8227 14a5c3be7345 00001ecf3527 14a43cbe73d5
00001f41ce0e 89f84b32c6ee 00001f71310e 89fe0832c6ce
00001f739c2e aee9811e71db 00001fd3ae2e aee3541e716b
00001f232075 605acf21c5d4 00001f330c75 60545c21c564
00001f1658a1 be0ca3975b28 00001f369ca1 be0e2d975b38
00001f3cb917 a28560de1d2f 00001fbc0c17 a28d91de1d4f
000020620d84 c8d2e56f6abe 000020c20c84 c8d9da6f6a6e
00002048165e ac15338a1131 00002078d75e ac14928a1151
0000207c9d79 5ec3f10157db 000020dcad79 5ecea201570b
0000207d7c3a 833ce5de7168 000020dd783a 83358cde71f8
00002131d4e7 bb3af7707b4c 000021f14de7 bb3245707bac
00002144b3da e1067be38708 000021545eda e10eece38738
00002115d3f4 f0dcc459a3d2 000021c57df4 f0dfeb59a3b2
000021670114 3aa1d62cd4bd 000021e71714 3aa7e02cd43d
00002169925a 2cc0dbcd39f5 000021f9fa5a 2cc3b2cd39a5
0000211ca9af b8478dcc0fe5 0000212c8daf b84366cc0f75
000022727334 41a963fb6493 000022d24634 41abb0fb6473
0000220531ae 6804670e9ba2 000022452aae 6802ec0e9b62
0000220a16d7 b3e5055b5b47 0000223a9ad7 b3ed105b5be7
0000220c4b9b 09dca13147be 0000226c3b9b 09d82531476e
000022dd79dc c7e2920d2e0c 000022fdf4dc c7e31a0d2e6c
000023a3db78 c9644c07f9e1 000023e36178 c960e007f931
0000233737d3 fd8a50916d36 000023772ed3 fd8faa916df6
00002411ab36 27d5cdce801f 00002441ef36 27dc8fce80ff
00002451275b 62c5d87c594d 00002481565b 62ca577c598d
000024213ce0 4cf7265c75e8 00002451c1e0 4cfb7a5c75d8
00002452d500 7c442d2aff48 000024b29400 7c4c552affb8
00002423e1b6 5b0b1cd3ec93 000024334eb6 5b0399d3eca3
0000246429b4 3557eea27c19 000024b4b1b4 35596fa27cb9
00002445d2ad 4f64b83625ce 000024755fad 4f68ac36250e
000024885326 cbb33d741095 000024984326 cbb9ce741055
000025851cd3 dd018bf34b0b 000025d52ad3 dd036ef34bab
00002508ee5f dd1edf929658 000025f8dc5f dd1d719296e8
0000255d8fc1 3442f76a646e 0000257dd7c1 3447486a640e
000026436f1f e4f025821c78 00002693761f e4f910821ce8
000026058fe8 1ac4ec2d70f6 00002625b1e8 1ac3382d7006
0000261b1337 c7081b4edfef 000026bb0537 c70d2e4edf3f
000027926581 0c76d31a506c 000027b2d781 0c78611a50bc
00002742a7a1 47d1f5420433 000027b217a1 47d936420493
00002764dc79 58a9d5f25f89 000027a40d79 58ae4bf25f99
000027193c8b 914dd597411c 000027894b8b 914b4d9741bc
0000277b626f 8f080f69634d 000027ab256f 8f069669639d
0000276feb26 36474c338b3d 000027cffc26 364150338b7d
000028129407 63bc66f3545e 000028225307 63ba19f354de
0000289c5883 b1c521109913 000028fce783 b1c4ef109923
0000283d36db 178908019590 0000289d8edb 1785100195f0
00002902a440 138969082b9a 000029d2f240 13867b082b3a
00002922245d b6a37d7ed794 00002932f65d b6a7dc7ed774
0000290508d5 2d22fc190c9e 0000291574d5 2d2da6190c3e
000029765fac b7bf3f7d1a2f 000029f6e3ac b7b4db7d1a9f
000029cedc8a 0197d9e16c14 000029ee4e8a 019225e16c94
00002a74b29c ca7d3c660423 00002ac4f69c ca72446604d3
00002a39968e c427dcc8f2bf 00002ae9818e c42188c8f21f
00002a4a243b 71cc6a852f88 00002a6ae53b 71c64c852fa8
00002b6a944f d7ce4bbf19eb 00002bca054f d7cc30bf19cb
00002b2dfb15 6a293bbcd3d3 00002b5d8415 6a2c98bcd313
00002b7f7180 d0445c02cf35 00002bfff980 d04d0602cf15
00002c531fc0 1b59f0751bbc 00002ca3f3c0 1b51bd751b2c
00002c274084 48ae620b182f 00002cc7de84 48a50b0b183f
00002c28d4f2 efb136b1bc6f 00002cf8cff2 efb82fb1bcdf
00002c5a10d3 8c02db95b17e 00002caa97d3 8c08c995b15e
00002c4c7d0a d936d4b0154e 00002cac7c0a d93523b0159e
00002c3dce18 395aaa8d477d 00002c4d4918 395fd78d473d
00002c0f626a 6673599942aa 00002c9f7c6a 66776f99424a
00002d07f795 b31aee6711f5 00002df7ed95 b31cb6671135
00002db8d214 3437bbe573b6 00002dd8fb14 343011e57386
00002d08f364 a23026c63966 00002d687f64 a23af5c63976
00002d5bf6e6 9b50e66dabcd 00002d6b92e6 9b5b376dabbd
00002d7f31c5 7b012958e8f1 00002d8fe6c5 7b008758e831
00002e33aab1 93029afca328 00002ea3a4b1 93012dfca318
00002ea75406 c649fea36e63 00002eb75306 c64505a36e03
00002e1b906d 62a484c09728 00002e2bd66d 62aabfc09708
00002e6e19a6 8a0c7ee3b152 00002ebedda6 8a056de3b192
00002e3f6ce1 d16d55951f60 00002eff7ae1 d168fb951f90
00002f4037cc 439539764340 00002f608fcc 439c0a7643f0
00002f55d535 3d714615f93c 00002fc56135 3d7db915f9dc
00002f2b522a 8de80cfdbcb2 00002febed2a 8de4cafdbc22
00002f0c375f 8ad0acc1bc44 00002f8c2b5f 8ad9dfc1bc94
00002f9d26b1 897a6c234610 00002fcd9bb1 897de9234620
00002f3e0266 5ee11ab03986 00002ffe5666 5ee33cb039e6
00002f7e6f74 4dfe42e962d6 00002f9e7b74 4df526e96276
00002fefd60e 0967c70241fe 00002fffe10e 09629d0241ae
000030137144 d4fc8a95d049 000030633844 d4fdf295d0b9
0000301328be 82f26bbc2ebd 000030d39fbe 82fbffbc2e1d
000030173408 fa51910d4f0c 000030c71508 fa5e1c0d4f3c
0000301c0cbf 536b78dae0c0 0000305c7fbf 536624dae080
0000304e476a df1e84a9d0fa 000030aeb86a df1ffea9d06a
0000308ffe45 1c5ab22cbbcf 000030bf5945 1c5cd92cbb4f
0000305f5363 f04e5a480599 0000306f0063 f0490d480529
0000311171f4 a89230e2d8d5 000031915df4 a890d6e2d805
000031721e36 8b54da126684 000031b29336 8b596b1266a4
000031d24ab7 f6808687032b 000031f25bb7 f68bdd87030b
00003113600b f5057a884877 00003163310b f50163884867
00003123f14a b3f45c8b54c7 00003173644a b3f3d38b5457
0000314410ab 96984c3691cd 000031c4fbab 96903936915d
00003200e103 075b291a9c00 000032400403 07563b1a9c30
000032595b53 ade9b3e5387c 00003279bd53 adec57e5383c
000032592458 2dcb0896b9e1 000032897c58 2dca2596b921
000032ac568a 88c4bc8b793c 000032bc3b8a 88c8538b79ac
0000320e345d 7a552eff0146 0000325ecf5d 7a5039ff0116
0000320ef5b0 f22e7446a2b0 0000324e46b0 f2212d46a230
000033b09b23 24d845ac06ba 000033d09123 24dd72ac060a
00003312fc25 934f4401bc30 000033622d25 93420501bc20
00003333c637 b6455fd95673 00003373e437 b64473d956b3
00003328733b 84f8855e04f5 000033889f3b 84f0125e04e5
0000330afc70 db37db4196bc 0000337a4970 db333f41961c
0000338fc7fe 42688c1a0f5d 000033af92fe 4265401a0fad
0000344019d4 1dbf3b4c925d 000034b047d4 1db32d4c921d
0000342451d8 49cb55fa6cdd 000034b474d8 49ccaafa6cad
000034090f02 1ae69d692c9d 00003459d602 1ae4ea692cbd
0000343c236e a7cabd7884c1 000034dcf66e a7ce62788461
00003501102e be3ba91c802a 00003541092e be3a361c809a
00003542ee08 b1fe713290f6 000035d2e308 b1fd253290c6
000035a3e52c d0c6a47e2134 000035b3932c d0c2ed7e2154
000035bfca21 314995aed8f2 000035ff4421 31400caed872
0000354f3440 c75e6a130e79 0000355f3540 c75c18130ea9
0000361230e0 e73197cde6c4 00003622c3e0 e73742cde684
00003693c81b 449a8b2c7c3c 000036a35c1b 4497542c7c9c
000036a6990b 0480e0ff3ffa 000036d6430b 048191ff3f8a
00003686c8a9 99f5cc5c8a29 000036f604a9 99feb95c8a39
000036caaa3b e9224c4a6159 000036eaff3b e92cd34a6189
0000360a0f4d aa04679ca99a 0000364a2f4d aa03909ca91a
0000363f05e3 6a644aa4854d 0000369f31e3 6a69a3a4853d
00003790ddcb 7d65a2696b4e 000037a0fbcb 7d68ef696bfe
00003711706d 66417b3668c5 00003741666d 664bde366835
0000370497da 06db9c6369c9 0000372409da 06dfb9636979
000037962518 508f6e6b8534 000037c6d318 5083fa6b85d4
000037b626ed cad3602e09c1 000037d6a1ed cadf832e09f1
000037179ea0 f44010754108 00003727baa0 f444e1754128
0000370b4b03 55f67432162d 0000372b4903 55feb232161d
0000372d09f9 fdc3ab3f2090 0000377dc3f9 fdcb7d3f2010
0000370e3e85 14c09132d255 0000376e4085 14c4bd32d225
00003811ae35 d680731c480b 000038f16d35 d6851a1c485b
000038059f2c 438b79a9e90d 000038b5092c 43864ea9e9ad
000038660820 80d4c1242bb0 000038f61d20 80d818242b50
000038575957 1ecb36b9a91e 000038b74d57 1ecc99b9a9ae
000038685f69 6f166a1a589d 000038e80669 6f14e81a580d
00003839bad1 4209c4b7ebc1 000038c9ced1 420cb3b7eb91
0000381ec16c 4cc6dcfe66c9 0000389eee6c 4cc98bfe6619
00003900e4c4 ae9894e09957 00003990a9c4 ae917be099c7
00003914aaf9 6623cc98c4a6 0000399460f9 6625bf98c496
0000394573a2 e3aae1148ec4 000039a570a2 e3a1ff148e04
000039092cec 29efee4f974c 000039c90cec 29e4924f976c
0000396c5a71 0dbabb705723 000039bc8671 0db883705783
000039ee948f b3d7d8ca917e 000039fea68f b3dbb4ca914e
0000393e3c98 179e18930bf2 000039ee9a98 179407930bd2
00003a301b9a ab2785af0381 00003ab0dd9a ab2e58af0351
00003a306dc2 767187347e55 00003a50c9c2 767d10347e35
00003a62d799 1fd3f6e471c5 00003af22699 1fd297e47105
00003a352a38 aef3e59b6a55 00003ad5af38 aef4029b6ab5
00003aa7fb49 5d4e7bf3cf7e 00003ac7a449 5d49bff3cf4e
00003a88dce9 d30577bf75eb 00003ae864e9 d30a02bf75bb
00003aa97838 c6e051167bd8 00003ac9c838 c6e278167b58
00003a2a913b 8d9910f178f0 00003a6a083b 8d904af17840
00003aba3c59 77ae28fab282 00003aea9559 77af6afab242
00003a4abcca 912337f58946 00003abad8ca 912d6bf58906
00003a6f0d36 7e1b350f6088 00003abfbc36 7e17630f6028
00003b919319 9ff2c78dd75e 00003bd1d619 9ff0f18dd76e
00003bb57038 3c60584c630a 00003bf51738 3c65ad4c63fa
00003b85f981 830a9d39dcc7 00003bd52281 8306b939dc37
00003b476472 e4c15e9467d5 00003b97ad72 e4c47c946715
00003b090971 10df25c4de68 00003b398471 10d433c4de88
00003b496dac af4038e72c26 00003b9956ac af430ae72c56
00003b5b9d1c 96eb29c02f06 00003bdbf41c 96ed71c02fe6
00003bdc3467 4997fd6757c0 00003bfcdd67 4990e86757f0
00003b4cc096 dffbd1a4040f 00003b7c2196 dfff8da4049f
00003bdf4393 d64099d213a8 00003bef1a93 d645b2d21318
00003baf04b6 3cd71b5c4b5d 00003bdf17b6 3cdcf55c4b1d
00003c708126 31ce8efcb3e0 00003cf00f26 31c9dbfcb3f0
00003c757d71 6650b943c010 00003c956171 66514f43c0d0
00003c15f7ca ced68b5dce60 00003c35deca ced72a5dce90
00003c096624 e24f66c2f9c3 00003c694c24 e24829c2f933
00003c1bb45e 474616eec0ae 00003c4b155e 474caeeec08e
00003d224d04 20d3cb54977a 00003dd25f04 20d2255497ea
00003d77a658 cca58c351d79 00003da70058 ccab40351d89
00003d998b4b 1b374d37d4f8 00003dc92a4b 1b323737d438
00003d5c92ce d5ebf223aa3b 00003d9c9ece d5e6a423aa8b
00003d4f97f4 05cb7539be7a 00003d9f50f4 05c41939be3a
00003e0180b3 8867f852a4c3 00003ec1b9b3 886d0a52a413
00003e02cdce 3526475ff96f 00003e32e5ce 352bcc5ff97f
00003e23420a 6e2b912b1ac5 00003ec3ad0a 6e22862b1a35
00003eb38771 ac61488781b0 00003ed37571 ac6ff68781d0
00003e35da26 183af70c5a89 00003ef51226 18302f0c5a49
00003e26a2f7 60a8d3e394e5 00003e46e3f7 60ade5e39445
00003f1bbbff eb27062c29c1 00003fbbb0ff eb21892c2971
00004082fb66 139f6dbd795f 000040929366 1390c2bd791f
00004073ba69 78fece9ebfad 000040f33c69 78f1389ebfbd
000040245b1b d14e409025f9 00004094bc1b d14fb6902529
000040456dac fabc0f7ec98b 000040c5edac fab3487ec93b
000040c604b3 a5dd5e7d884d 000040d627b3 a5d83f7d88dd
0000409bede6 7c353393fcbc 000040db31e6 7c3d9e93fc2c
000040ac8f98 d811b1aa15c9 000040dc7698 d818c8aa1539
00004122d6b1 8f5490d46efd 000041927bb1 8f5581d46e1d
000041153e9a dbb96b3d6d76 000041558e9a dbb5fe3d6d86
000041472b95 83e18bc9ac32 000041c7e895 83e459c9acd2
000042320baf 6e239a736920 000042b2cdaf 6e2c42736960
00004295b696 1942c8f75b17 000042d59c96 194e6ff75b97
0000425cf8ea ba0d0705aa1d 0000427c2dea ba0f6305aafd
0000425ec50e 6de6b885ff49 000042ce1e0e 6de95385ff29
00004324faf6 30e2279c5e86 00004344d4f6 30ea419c5e16
000043266cd6 b148ed398260 000043a67ed6 b14db0398270
000043ecde9e 267034c19378 000043fcd79e 267dcac193d8
0000436c03f2 744031b1266c 000043cc66f2 744a49b126ec
0000436e2c33 19846ce10d48 000043fe1733 198539e10dd8
000043be4e83 9d471685e48a 000043defe83 9d445b85e40a
000044a0cc05 6d102f267817 000044b0bf05 6d1c48267887
000044b0f719 be8d673dc750 000044f04619 be8b333dc7a0
00004461ee9f 50823cda1194 000044915f9f 508d44da11d4
000044033074 9a487e89bad3 00004493e474 9a4c8c89ba23
00004494a02d 3eb79543a745 000044d4012d 3eb2d843a775
00004465fd3e 99c37922fadc 000044b5ee3e 99c12f22fabc
000044766498 46d5066fb4f9 000044f63198 46da546fb489
000044a792cd 6137acc4624e 000044e7eecd 6134c2c4620e
0000442a38ef 93f4685c6a5a 0000445a0cef 93f0965c6afa
000044ac19ec 5728eef20b45 000044dc86ec 5720aff20bb5
00004514e722 3b0d908234b3 00004584a422 3b0b15823443
000045c45b53 550752a880cf 000045f46653 550f93a8809f
000045365f6c 5e44759e1354 000045c6e26c 5e4da69e1304
0000452d68a2 1608cc34ba3e 000045ddf5a2 16061a34baae
00004670a2f9 db4e66b1978c 000046b02ef9 db4438b1977c
00004622e451 a93a1469a0d2 00004652ab51 a93bd769a022
00004612fcbd 74ba14a1eae0 000046c24dbd 74b24ca1ea60
000046558b8d c3e0b1018f0d 000046d5d58d c3e8ea018f4d
0000465fa391 1bf110f9c124 0000467fb391 1bffc4f9c1d4
00004724ef73 6f38e27e86c6 000047340173 6f35677e8646
00004786f9de ae6394dd0167 000047a6c0de ae67cbdd01d7
000047174dd0 767ad421ba31 0000477725d0 7677a521ba21
0000474e2544 1f6d0ab40979 000047aee344 1f604db40949
000048b1e996 73f08c1552f4 000048e16596 73f81a155254
000048315cfa 4ba237c17520 000048e1fefa 4ba3fcc17550
000048bc70f9 38b35857851a 000048fc37f9 38b54d5785ea
0000482e1d15 30f82e4a3de3 000048aea715 30f7884a3d73
0000490017d2 4633460447e7 0000493022d2 46362d044747
000049000ef3 1bb5c0fcb3e8 000049c04af3 1bb2d7fcb358
00004912d9f0 2d4b9274b32b 0000497286f0 2d435b74b38b
000049132500 11220678e7b2 000049e36600 11214e78e722
000049c459a4 e4e3c964f457 000049d4e2a4 e4e91b64f4b7
000049050080 ddbde96b0413 00004995cb80 ddba366b0403
000049d62381 2310870f9523 000049f64181 23144b0f95e3
00004916e3e5 d7e09b6a893a 0000493682e5 d7e16d6a894a
000049d82d23 2a94bc04bb1e 000049e8d923 2a964404bb2e
000049386c7a a8b931ed6c6d 000049e8dd7a a8bbd5ed6cad
000049b99e4c 2396f19b75e7 000049f9b74c 2397a49b7597
0000491b4dcb 85015c253800 000049ebefcb 8509be253880
0000490e468f fa50cc943978 0000495ee48f fa5fa6943948
00004b30f25c e867b65be2d6 00004be0525c e86d795be236
00004b064783 462efcbbfcd8 00004b362d83 462407bbfc68
00004ba8c598 651c4f28d6cd 00004bd8bb98 65115d28d62d
00004bc91b22 24143f416a06 00004bd96d22 241370416a76
00004b8b47e2 b65d14a3c0ba 00004bbb3ee2 b6575ba3c0ea
00004c177121 a8ffa6663565 00004c97a721 a8f63a663535
00004c1b5079 53c1f9f33893 00004c8bea79 53c522f33813
00004c6e2a16 998e0dcc268f 00004c7eea16 9980e8cc265f
00004d56da90 d0c09d9ba3a2 00004dd64b90 d0ca389ba352
00004d58c24e a9a4aab863e1 00004da8624e a9ae45b86351
00004d0ab35e efbc1a4b8e3b 00004d2a3a5e efb50e4b8eab
00004e84afd8 02532f44b1fe 00004eb48ad8 02550744b1be
00004e553a38 59249fa4e4a7 00004e658e38 59272aa4e457
00004e5a931a aec6aa37fd57 00004e7ab51a aec34f37fdd7
00004e3a6132 76a4e35023af 00004e9aa232 76a28750234f
